index;PCE;quantity DS HTL;ratio P3HT:PCBM;P3HT;PCBM;temperature;dew point;hummidity;pressure;time
1;1.266052273;1;1;1;1;22.22;12.78;57;1016.93;0
2;1.119102305;1;1;1;1;20;3.89;35;1011.85;15
3;1.049343127;1;1;1;1;12.22;2.78;54;1007.79;28
4;0.777663712;1;1;1;1;15;3.89;48;1002.03;29
5;0.971529676;1;1;1;1;17.22;5;45;1020.66;34
6;0.783651754;1;1;1;1;16.11;8.89;63;1015.92;55
7;0.630550799;1;1;1;1;12.78;7.78;72;1023.71;77
8;0.61278982;1;1;1;1;12.22;3.89;58;1019.64;86
9;0.599789035;1;1;1;1;12.22;10;88;1023.71;106
10;0.594969815;1;1;1;1;17.22;1.11;34;1020.66;112
11;0.612252669;1;1;1;1;16.11;2.78;42;1021.67;119
12;0.578923923;1;1;1;1;16.11;8.89;63;1017.95;126
13;0.559081092;1;1;1;1;15;11.11;77;1017.95;133
14;0.601513122;1;1;1;1;17.22;10;63;1007.79;140
15;0.514115959;1;1;1;1;12.78;11.11;88;1014.9;147
16;0.553495466;1;1;1;1;15;12.22;82;997.97;154
17;0.528539973;1;1;1;1;17.22;12.78;77;1004.74;168
18;0.475635533;1;1;1;1;18.89;10;56;1012.87;182
19;0.532585739;0.5;1.11;1;0.9;17.22;2.78;39;1007.79;0
20;0.470710945;0.5;1.11;1;0.9;20;3.89;35;1011.85;7
21;0.427945073;0.5;1.11;1;0.9;17.78;6.11;45;1014.9;13
22;0.437369792;0.5;1.11;1;0.9;12.22;2.78;54;1007.79;20
23;0.411925115;0.5;1.11;1;0.9;15;3.89;48;1002.03;21
24;0.418292641;0.5;1.11;1;0.9;17.22;5;45;1020.66;26
25;0.416701285;0.5;1.11;1;0.9;16.11;8.89;63;1015.92;47
26;0.372726732;0.5;1.11;1;0.9;12.78;7.78;72;1023.71;69
27;0.385337873;0.5;1.11;1;0.9;12.22;3.89;58;1019.64;78
28;0.388483675;0.5;1.11;1;0.9;12.22;10;88;1023.71;98
29;0.340614017;0.5;1.11;1;0.9;17.22;1.11;34;1020.66;104
30;0.400197432;0.5;1.11;1;0.9;16.11;2.78;42;1021.67;111
31;0.366227516;0.5;1.11;1;0.9;16.11;8.89;63;1017.95;118
